"imageID","range0","range1","range2","range3","range4","range5","range6","range7","range8","range9","range10","range11","range12","range13","range14","range15","range16","range17","range18","range19","range20","range21","range22","range23","range24","range25","range26","range27","range28","range29","range30","range31","range32","range33","range34","range35","range36","range37","range38","range39","range40","range41","range42","range43","range44","range45","range46","range47","range48","range49","range50","range51","range52","range53","range54","range55","range56","range57","range58","range59","range60","range61","range62","range63","grayscale","contrast","Style"
100,0.296762762762763,0,0,0,0,0.251873873873874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212102102102102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113843843843844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125417417417417,129.7204,209.596,"Cat12"
106,0.140299492385787,0.309492385786802,0,0,0,0,0.281994923857868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217730964467005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504822335025381,107.3728,169.618,"Cat12"
107,0,0.235111801242236,0,0,0,0,0.240813664596273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131329192546584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6524,163.776,"Cat12"
113,0.157170350609756,0,0,0,0,0.183392149390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322084984756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220990472560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116362042682927,139.273,188.771,"Cat4"
114,0,0.130318318318318,0,0,0,0.282124624624625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28586036036036,0,0,0,0.201138138138138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100558558558559,125.8288,174.022,"Cat4"
115,0.228934030252633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141621129326047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165874712916766,0,0,0,0,0,0.199374356537578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264195770966976,119.0798,188.708,"Cat2"
118,0.0525522138680033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141048454469507,0,0,0,0.211833751044277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38327903091061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211286549707602,146.2308,186.124,"Cat3"
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216917293233083,0,0.0774227234753551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196115288220551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179348370927318,158.4062,164.334,"Cat6"
134,0.231686425607587,0,0,0,0,0.285966212211025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202560758743331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208586247777119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712003556609366,114.4424,193.411,"Cat5"
136,0.167404629696402,0.260748539698565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215497223624432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243340304319608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113009302660994,120.1668,195.902,"Cat12"
137,0.281931818181818,0,0,0,0.232710700757576,0.174938446969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175511363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134907670454545,114.0584,194.68,"Cat5"
138,0,0.130508581624114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177472644592866,0,0,0,0.163714019547471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258364517707988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269940236527561,141.2358,185.958,"Cat6"
146,0.19111482099796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169478760897793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219697644221851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12646633277685,107.4212,200.288,"Cat14"
